CommentText,Label
"Yazıklar olsun sana verdiğim emeklere",1
"Teşekkürler emeğine sağlık",0
"Vay be ne kadar yaratıcı bir fikir",0
"Defol git buradan gözüm görmesin",1
"Bence başarılı bir çalışma tebrikler",0
"Öl git de dünya bir pislikten kurtulsun",1
"Hayırlı işler bol kazançlar dilerim",0
"İyi ki varsınız çok yardımcı oldunuz",0
"Senin gibi malı çok aradılar mı",1
"Düşüncenize sağlık çok mantıklı",0
"Allah senin cezanı versin pislik",1
"Gerçekten çok bilgili birisiniz hocam",0
"Bu kadar boş bir insan görmedim hayatımda",1
"Katılıyorum çok yerinde bir tespit olmuş",0
"Kafan hiç çalışmıyor senin gerçekten yazık",1
"Bence bu fikir geliştirilirse harika olur",0
"Karaktersiz herif insanları kandırma",1
"Yardımlarınız için minnettarım çok sağ olun",0
"Otur yerine sesini kes artık seni mi dinleyeceğiz",1
"Harika bir topluluk herkes çok yardımsever",0
"Seni burada kimse istemiyor çek git artık",1
"Çok samimi ve içten bir paylaşım teşekkürler",0
"Cahil herif ne anlarsın sen bu işlerden",1
"Başarılarınızın devamını canı gönülden dilerim",0
"Tipine bakınca ne olduğun belli oluyor",1
"Yazınız beni çok etkiledi emeğinize sağlık",0
"Boş yapma işine bak hadi oradan",1
"Hocam ağzınıza sağlık çok akıcı bir ders",0
"Beceriksiz herif her şeyi batırdın yine",1
"Bu projeyi hayata geçiren herkese teşekkürler",0
"Senin gibi yeteneksizler bu işi yapmasın",1
"Gününüz aydın olsun iyi çalışmalar",0
"Bıktım senin bu saçma sapan yorumlarından",1
"Faydalı bir paylaşım olmuş elinize sağlık",0
"Zavallısın gerçekten acıyorum senin bu haline",1
"Harika bir bakış açısı tebrik ederim",0
"Senin gibi akılsızlar yüzünden gelişemiyoruz",1
"Çok teşekkürler çok işime yaradı bu bilgi",0
"İnsanları aşağılamayı ne zaman bırakacaksın",1
"İyi ki varsınız hocam saygılar sunarım",0
"Seni pişman ederim görürsün sen gününü",1
"Bence bu konuda tamamen haklısınız",0
"Dürüst olmayı dene biraz yalancı herif",1
"Çok kibar birisiniz teşekkür ederim",0
"Beyinsiz olduğun her halinden belli oluyor",1
"Harika bir tarif hemen deneyeceğim",0
"Suratını bile görmek istemiyorum senin",1
"Anlayışınız için çok teşekkürler",0
"Emeğe hiç saygın yok tam bir nankörsün",1
"Güzel bir haber umarım devamı gelir",0
"Seni mahvederim bir daha buralara gelme",1
"Ellerin dert görmesin çok güzel olmuş",0
"Bana bak seni buralarda barındırmam",1
"Keyifle takip ediyorum sizi başarılar",0
"Tam bir fiyasko rezil bir çalışma",1
"Çok nazik bir davranış teşekkürler",0
"Senin ne olduğunu herkes biliyor sinsi",1
"Başarılı bir çalışma olmuş tebrikler",0
"Gözüm görmesin seni defol buradan",1
"Katılıyorum bence de öyle olmalı",0
"İnsanlıktan nasibini almamış kaba herif",1
"Emeğiniz için çok teşekkürler hocam",0
"Hakkımı helal etmiyorum sana rezil",1
"Hayırlı olsun çok sevindim bu habere",0
"Kes sesini artık bıktık senin dırdırından",1
"Harika bir fikir tebrik ederim",0
"Yazıklar olsun sana verdiğim emeklere",1
"Çok faydalı bir içerik teşekkürler",0
"Aptal mısın yoksa numara mı yapıyorsun",1
"Sizleri seviyoruz iyi çalışmalar",0
"Yüzsüz herif hala konuşuyor musun",1
"Mükemmel olmuş ellerinize sağlık",0
"Hadi oradan başka kapıya",1
"Bence çok mantıklı bir karar",0
"Kibirli birisin kimse seni sevmiyor",1
"Gününüz güzel geçsin efendim",0
"Seninle vakit kaybetmek büyük hata",1
"Çok tatlı bir paylaşım olmuş",0
"Kafası basmayan insanlar yorum yapmasın",1
"Bilgi için teşekkürler çok sağ olun",0
"İğrenç bir üslubun var çok iticisin",1
"Hayırlı akşamlar dilerim herkese",0
"Dünyadaki en gereksiz insansın",1
"Ellerine sağlık kardeşim",0
"Terbiyesiz herif sınırını bil",1
"Gayet açıklayıcı bir yazı olmuş",0
"Kendinden utanmalısın bu yaptıkların için",1
"Çok yardımcı oldunuz teşekkürler",0
"Bencil herif sadece kendini düşün",1
"Güzel bir düşünce tarzı tebrikler",0
"Sizinle çalışmak gerçekten büyük bir keyif",0
"Fikrin yok ama zikrin var tam bir cahilsin",1
"Anlatım tarzınız çok akıcı ve anlaşılır",0
"Keşke biraz sussan da kafa dinlesek",1
"Çözüm öneriniz için çok teşekkürler",0
"İnsanları kandırınca eline ne geçiyor rezil",1
"Harika bir enerji katmışsınız teşekkürler",0
"Seninle konuşmak bile zaman kaybı",1
"Bence bu konuda çok isabetli bir karar verilmiş",0
"Egondan önünü göremiyorsun zavallı",1
"Emeğinizin karşılığını alırsınız umarım",0
"Tam bir hayal kırıklığısın başka bir şey değil",1
"Bu nazik yorumunuz beni çok mutlu etti",0
"Hadi başka kapıda havla burada yerin yok",1
"Okuduğum en mantıklı yazılardan biriydi",0
"Gerçekten çok itici bir tavrın var",1
"Başarılar dilerim yolunuz açık olsun",0
"Kafan sadece kötülüğe çalışıyor nankör",1
"Desteğiniz benim için çok değerli",0
"Senin gibi boş beleş adam görmedim",1
"Çok zarifsiniz her şey için sağ olun",0
"Terbiyesizliğin lüzumu yok sınırını bil",1
"Güzel bir akşam dilerim herkese",0
"Bu kadar sığ düşünen birini görmedim",1
"İlham verici bir paylaşım olmuş",0
"İğrenç bir karakterin var yazık sana",1
"Fikirlerinize saygı duyuyorum teşekkürler",0
"Kendini ne sanıyorsun sen acaba",1
"Çok başarılı bir uygulama olmuş",0
"İnsanlık namına hiçbir şey yok sende",1
"Düşünceli davranışınız için teşekkürler",0
"Seni ciddiye alanın aklına şaşarım",1
"Elleriniz dert görmesin mükemmel",0
"Pislik herif her şeyi eline yüzüne bulaştırdın",1
"Harika bir iş çıkarmışsınız tebrikler",0
"Tam bir fiyasko iğrenç bir sonuç",1
"Çok nazikçe bir yaklaşım olmuş",0
"Senin o kirli oyunlarını herkes biliyor",1
"Yüreğinize sağlık çok dokunaklıydı",0
"Aptal yerine koyma insanları haddini bil",1
"Başarılarınız daim olsun inşallah",0
"Yüzsüzce konuşmaya devam ediyorsun hala",1
"Bilgilendirme için çok teşekkür ederim",0
"Seninle aynı ortamda bulunmak bile utanç verici",1
"Keyifle takip ediyorum sizi",0
"Ahlaksız herif terbiyeni takın",1
"Mantıklı ve yerinde bir eleştiri",0
"Kibirli ve ukalasın kimse seni sevmiyor",1
"Emeği geçen herkese minnettarım",0
"Senin ne mal olduğun belli oldu artık",1
"Gününüz neşe içinde geçsin",0
"Boş konuşanlar derneği başkanı mısın nesin",1
"Hayırlı işler bol kazançlar",0
"Anlamıyorsun bari saygı duy bari cahil",1
"Güzel bir tespit tebrik ederim",0
"İyice saçmalamaya başladın çek git",1
"Çok faydalı bir araç ellerinize sağlık",0
"Senin gibi tipler bu platformun kalitesini düşürüyor",1
"Yardımlarınız için çok minnettarım",0
"Seni görmek bile midemi bulandırıyor",1
"Harika bir bakış açısı sunmuşsunuz",0
"Zekandan şüphe ediyorum artık",1
"Teşekkürler emeğinize sağlık",0
"Yalan söylemekten bıkmadın mı sahtekar",1
"Süper bir paylaşım hemen deniyorum",0
"Senin seviyene inmek istemiyorum",1
"Çok yardımcı oldunuz sağ olun",0
"Yazıklar olsun sana yazıklar olsun",1
"Güzel bir yaklaşım tarzı",0
"Aynaya bakınca utanmıyor musun acaba",1
"Emeğiniz için çok teşekkürler",0
"Yetersiz birisin bu işleri bırak bence",1
"Mükemmel olmuş ellerinize sağlık",0
"Terbiye yoksunu herif sınırını aşma",1
"Desteğiniz için teşekkür ederim",0
"İnsanları sinirlendirmekten zevk mi alıyorsun",1
"Hayırlı uğurlu olsun çok sevindim",0
"Bana bak seni pişman ederim görürsün",1
"Harika bir fikir tebrikler",0
"Kendini geliştir biraz sığ kalmışsın",1
"Gerçekten örnek alınacak bir davranış tebrikler",0
"Senin gibi birinin bu dünyada yeri yok",1
"Çok başarılı bir sunum olmuş elinize sağlık",0
"Kafası basmayan insanlar burada yorum yapmasın",1
"Yardımınız için çok teşekkür ederim çok naziksiniz",0
"Tam bir rezalet başka söze hiç gerek yok",1
"Hocam ders anlatımınız çok akıcı sağ olun",0
"Senin o olmayan beynini kuşlar yesin",1
"Paylaşım için teşekkürler çok işime yaradı",0
"Defol git şuradan gözüm görmesin seni",1
"Keyifle takip ediyorum başarılarınız daim olsun",0
"Karakter yoksunu biri olduğun belliydi zaten",1
"Harika bir bakış açısı sunmuşsunuz teşekkürler",0
"Pislik herif her şeyi eline yüzüne bulaştırdın",1
"Düşünceli davranışınız beni çok mutlu etti",0
"Yüzsüzce hala konuşuyor musun sen",1
"Bence bu konuda çok haklısınız katılıyorum",0
"Ahlaksızlık diz boyu gerçekten yazıklar olsun",1
"Gayet açıklayıcı ve net bir yazı olmuş",0
"Senin seviyene inmek istemiyorum zavallı",1
"Emeğiniz için minnettarım çok teşekkürler",0
"İnsanları kandırmaktan ne zaman vazgeçeceksin",1
"Harika bir fikir hemen uygulamaya geçeceğim",0
"Aptal mısın yoksa numara mı yapıyorsun",1
"İyi ki varsınız çok yardımcı oldunuz",0
"Hadi başka kapıda havla burada yerin yok",1
"Çok naziksiniz yardımlarınız için sağ olun",0
"Terbiye yoksunu herif sınırını bil artık",1
"Mükemmel bir içerik olmuş tebrik ederim",0
"Gerçekten iğrenç bir karakterin var",1
"Başarılar dilerim yolunuz her zaman açık olsun",0
"Cahilliğin bu kadarı da fazla artık",1
"Çok bilgilendirici bir yazı olmuş sağ olun",0
"Zekandan şüphe ediyorum gerçekten yazık",1
"Desteğiniz benim için çok değerli teşekkürler",0
"Öl git de dünya bir pislikten kurtulsun",1
"Elleriniz dert görmesin harika bir çalışma",0
"Senin ne mal olduğun sonunda belli oldu",1
"Hayırlı işler bol kazançlar dilerim efendim",0
"Bana bak seni pişman ederim görürsün gününü",1
"Çok samimi bir paylaşım teşekkür ederim",0
"Egondan önünü göremiyorsun kibirli herif",1
"Harika bir enerji katmışsınız teşekkürler",0
"Seninle konuşmak bile büyük bir zaman kaybı",1
"Yüreğinize sağlık çok dokunaklıydı",0
"Aptal yerine koyma insanları haddini bil",1
"Bilgi için teşekkürler çok faydalı oldu",0
"Senin o olmayan onuruna tüküreyim",1
"Mükemmel bir anlatım tarzınız var hocam",0
"Yazıklar olsun senin gibi adama verdiğim emeklere",1
"Hayırlı akşamlar dilerim herkese",0
"Seni bir daha burada görmeyeyim pislik",1
"Emeğiniz için çok teşekkürler ellerinize sağlık",0
"Senin gibi tipler bu platformun kalitesini düşürüyor",1
"Güzel bir düşünce tarzı tebrikler",0
"Seni ciddiye alanın aklına şaşarım gerçekten",1
"Düşüncenize sağlık çok mantıklı bir karar",0
"Allah senin cezanı versin inşallah rezil",1
"İyi ki varsınız çok yardımcı oldunuz sağ olun",0
"Senin gibi malı çok aradılar mı acaba",1
"Gayet başarılı bir proje olmuş tebrikler",0
"Defol git başımdan seni mi dinleyeceğiz",1
"Mükemmel bir iş çıkarmışsınız ellerinize sağlık",0
"Karaktersiz herif dürüst olmayı dene biraz",1
"Harika bir gün umarım herkes çok iyidir",0
"Kafası çalışmayan insanlar yorum yapmasa keşke",1
"Desteğiniz için çok teşekkür ederim başarılar",0
"Yüzsüz herif hala burada mısın sen",1
"Çok samimi ve içten bir yazı olmuş",0
"Terbiyesiz herif sınırını çok aşıyorsun",1
"İlham verici bir paylaşım emeğinize sağlık",0
"Senin gibi boş beleş adam görmedim hayatımda",1
"Çok nazikçe bir yaklaşım teşekkür ederim",0
"İnsanlıktan nasibini almamış kaba birisin",1
"Başarılarınızın devamını dilerim yolunuz açık olsun",0
"Yalan söylemekten bıkmadın mı sahtekar",1
"Çok kaliteli bir içerik olmuş ellerine sağlık",0
"Aynaya bakınca utanmıyor musun acaba pislik",1
"Hocam bu ders çok faydalı oldu minnettarım",0
"Beceriksiz herif her şeyi batırdın yine",1
"Faydalı bir araç olmuş teşekkürler sağ olun",0
"Senin seviyene inmek istemiyorum git buradan",1
"Harika bir topluluk burası çok sevdim",0
"Gavat herif karını kızını da al git",1
"Güzel bir yaklaşım tarzı sevdim bunu",0
"Beyni yok fikri var klasik cahil işte",1
"Emeğiniz için minnettarım çok sağ olun",0
"Otur oturduğun yerde köpek gibi havlama",1
"Harika bir çözüm yolu sunmuşsunuz sağ olun",0
"Yazıklar olsun sana verdiğim bütün emeklere",1
"Teşekkürler emeğine sağlık çok güzel",0
"Senin ben sülaleni sikeyim gavat herif",1
"Vay be ne kadar yaratıcı bir fikir tebrikler",0
"Siktir git buradan gözüm görmesin seni",1
"Bence başarılı bir çalışma tebrik ederim",0
"Öl git de dünya bir pislikten temizlensin",1
"Hayırlı işler bol kazançlar dilerim hocam",0
"Senin gibi sinsi birini hiç görmedim",1
"İyi ki varsınız çok yardımcı oldunuz teşekkürler",0
"Senin o olmayan şerefine sokayım ben",1
"Düşüncenize sağlık çok mantıklı bir yazı",0
"Allah belanı versin her şeyi bozdun yine",1
"Süper bir video olmuş ellerine sağlık hocam",0
"Senin tipini sikeyim iğrenç yaratık seni",1
"Hocam bu ders çok faydalı oldu sağ olun var olun",0
"Anan bacın yok mu senin ne biçim konuşuyorsun",1
"Çok kaliteli bir içerik olmuş tebrikler kardeşim",0
"Geber git artık kurtulalım senin gibilerden",1
"Katılıyorum bence de öyle olması lazım kesinlikle",0
"Salak mısın oğlum sen ne anlatıyorsun burada",1
"Yardımlarınız için çok sağ olun hocam minnettarım",0
"Tam bir rezalet başka söze gerek yok yazık",1
"Güzel bir yaklaşım tarzı sevdim bunu tebrikler",0
"Şerefsiz herif insanları kandırmayı bırak artık",1
"Emeğiniz için minnettarım çok sağ olun var olun",0
"Gerçekten çok kötüsün kalbin kapkara olmuş",1
"Faydalı bir araç olmuş teşekkürler ellerine sağlık",0
"Seni bir daha burada görmeyeyim pislik herif",1
"Harika bir topluluk burası çok sevdim gerçekten",0
"Senden nefret ediyorum tiksiniyorum senden",1
"Bugün çok şıksın harika görünüyorsun gerçekten",0
"Beyni yok fikri var klasik cahil insan tipi",1
"Çok samimi bir yazı olmuş teşekkürler sağ olun",0
"Otur oturduğun yerde köpek gibi havlama artık",1
"Harika bir çözüm yolu sunmuşsunuz tebrik ederim",0
"Yazıklar olsun sana verdiğim emeklere helal değil",1
"Teşekkürler emeğine sağlık çok başarılı",0
"Senin o olmayan haysiyetine tüküreyim",1
"Vay be ne kadar yaratıcı bir fikir helal olsun",0
"Siktir git buradan gözüm görmesin seni bir daha",1
"Bence başarılı bir çalışma tebrikler devamını bekleriz",0
"Öl git de dünya bir pislikten kurtulsun inşallah",1
"Hayırlı işler bol kazançlar dilerim kolay gelsin",0
"Senin ne mal olduğun sonunda belli oldu rezil",1
"İyi ki varsınız çok yardımcı oldunuz sağ olun var olun",0
"Allah senin cezanı versin pislik herif seni",1
"Düşüncenize sağlık çok mantıklı bir yaklaşım",0
"Senin o olmayan onuruna sokayım ben",1
"Harika bir topluluk burası çok sevdim samimiyetinizi",0
"Senden nefret ediyorum tiksiniyorum senden artık",1
"Bugün çok şıksın harika görünüyorsun tebrikler",0
"Beyni yok fikri var klasik cahil insan örneği",1
"Çok samimi bir yazı olmuş teşekkürler emeğinize sağlık",0
"Otur oturduğun yerde boş yapma artık",1
"Çok kötü birisin beni bir daha arama",1
"Seninle konuşmak gerçekten vakit kaybıymış",1
"Bıktım artık senin bu anlamsız tavırlarından",1
"Daha iyisini yapabilirdin ama bu da fena değil",0
"Efsane bir paylaşım olmuş ellerine sağlık",0
"On numara beş yıldız bir iş tebrikler",0
"Senden adam olmaz boşuna uğraşma",1
"Beni bir daha asla rahatsız etme sakın",1
"Kendini ne zannediyorsun sen çok yazık",1
"Harika bir anlatım hocam çok net anladım",0
"Keşke biraz olsun kibar olmayı denesen",1
"Üslubun çok rahatsız edici haddini bil",1
"Her şey için çok teşekkür ederim harikasınız",0
"Bence bu proje gelecekte çok değerlenir",0
"Senin kadar sığ düşünen birini görmedim",1
"Gözümden düştün artık hiçbir değerin yok",1
"Başarılı bir çalışma yolun açık olsun",0
"Yazıklar olsun sana verdiğim bütün emeklere",1
"Bana bir daha yazma seni engelliyorum",1
"Çok samimi bir içerik olmuş çok sevdim",0
"Bilgilendirme için sağ olun çok makbule geçti",0
"Kafası basmayan insanlar burada ahkam kesmesin",1
"Beceriksizliğinle her şeyi mahvettin yine",1
"Harika bir fikir hemen deneyeceğim",0
"Terbiyesiz herif üslubuna dikkat et biraz",1
"Seninle aynı fikirde olmasam da saygı duyarım",0
"Cahilce konuşup insanların canını sıkma",1
"Gerçekten örnek bir davranış tebrikler",0
"İğrenç bir karakterin var çok iticisin",1
"Ellerine sağlık çok güzel bir yemek olmuş",0
"Seni ciddiye alanın aklına şaşarım gerçekten",1
"Mükemmel bir gün geçirmeniz dileğiyle",0
"Tam bir hayal kırıklığısın başka bir şey değil",1
"Aptal yerine koyma insanları haddini bil artık",1
"Desteğiniz benim için çok kıymetli sağ olun",0
"Seni gördükçe midem bulanıyor artık",1
"Çok profesyonel bir çalışma olmuş tebrikler",0
"Yalan söylemek senin karakterin olmuş",1
"Hocam emeğinize sağlık harika bir ders",0
"Zavallısın acınacak haldesin gerçekten",1
"Her zamanki gibi çok başarılı bir iş",0
"Ahlaksızca davranmayı ne zaman bırakacaksın",1
"Yardımlarınız için çok minnettarım hocam",0
"Defol git artık kimse seni sevmiyor burada",1
"Keyifle izledim emeğinize sağlık",0
"Senin gibi boş beleş adam görmedim",1
"Çok nazikçe bir yaklaşım teşekkürler",0
"Senin ne mal olduğun sonunda belli oldu",1
"Mükemmel olmuş ellerinize sağlık",0
"Siktir git başımdan seni mi dinleyeceğiz",1
"Bugün hava çok güzel umarım herkes iyidir",0
"Yüzsüz herif hala burada konuşuyor musun",1
"Çok kaliteli bir içerik tebrik ederim",0
"Beyni yok fikri var klasik cahil örneği",1
"Desteğiniz için teşekkür ederim minnettarım",0
"Tam bir rezalet başka söze gerek yok",1
"Güzel bir yaklaşım tarzı sevdim bunu",0
"Şerefsiz herif insanları kandırmayı bırak",1
"Hayırlı akşamlar dilerim herkese",0
"Seni bir daha burada görmeyeyim pislik",1
"Çok yardımcı oldunuz sağ olun var olun",0
"Seninle vakit kaybetmek büyük hata",1
"Harika bir topluluk burası çok sevdim",0
"Kibirli ve ukalasın kimse seni sevmiyor",1
"İlham verici bir paylaşım emeğinize sağlık",0
"Senden nefret ediyorum tiksiniyorum",1
"Hayırlı uğurlu olsun çok sevindim",0
"Geber git artık kurtulalım senin gibilerden",1
"Gayet açıklayıcı bir yazı olmuş",0
"Kendinden utanmalısın bu yaptıkların için",1
"Hocam bu ders çok faydalı oldu sağ olun",0
"Yazıklar olsun senin gibi adama",1
"Teşekkürler emeğine sağlık",0
"Aptal mısın yoksa numara mı yapıyorsun",1
"Bence çok mantıklı bir karar",0
"Senin o olmayan beynine sokayım",1
"Süper bir video olmuş ellerine sağlık",0
"Seni mahvederim bir daha buralara gelme",1
"Düşüncenize sağlık çok mantıklı",0
"Allah senin cezanı versin pislik herif",1
"Çok başarılı bir uygulama olmuş",0
"Tam bir fiyasko iğrenç bir sonuç",1
"Başarılar dilerim yolunuz açık olsun",0
"Terbiye yoksunu herif sınırını aşma",1
"Düşünceli davranışınız için teşekkürler",0
"Seni sülalece yakarız akıllı ol",1
"Harika bir çözüm yolu sunmuşsunuz",0
"Senin gibi tipler bu platformu bozuyor",1
"Hocam ağzınıza sağlık çok akıcı bir ders",0
"Kafan sadece kötülüğe çalışıyor nankör",1
"Çok faydalı bir içerik teşekkürler",0
"Yüzsüzce konuşmaya devam ediyorsun hala",1
"Mükemmel bir iş çıkarmışsınız ellerinize sağlık",0
"Senin o olmayan onuruna tüküreyim",1
"Bence başarılı bir çalışma tebrikler",0
"Öl git de dünya bir pislikten kurtulsun",1
"Hayırlı işler bol kazançlar dilerim",0
"Zekandan şüphe ediyorum artık yazık",1
"İyi ki varsınız çok yardımcı oldunuz",0
"Seni bir daha aramamı bekleme artık",1
"Seni gördüğüme hiç sevinmedim çek git",1
"Harika bir kalbin var her şey için teşekkürler",0
"Seninle konuşmak duvara konuşmak gibi",1
"Bence bu fikir projenin kaderini değiştirir",0
"Kafası basmayan insanlar burada yorum yapmasın",1
"Desteğiniz benim için çok kıymetli sağ olun",0
"Tam bir hayal kırıklığısın başka bir şey değil",1
"Mükemmel bir gün geçirmeniz dileğiyle",0
"Zavallı birisin gerçekten acıyorum sana",1
"Çok profesyonel bir çalışma olmuş tebrikler",0
"Yalan söylemek senin karakterin olmuş",1
"Hocam emeğinize sağlık harika bir ders",0
"Ahlaksızca davranmayı ne zaman bırakacaksın",1
"Yardımlarınız için çok minnettarım hocam",0
"Defol git artık kimse seni sevmiyor burada",1
"Keyifle izledim emeğinize sağlık",0
"Senin gibi boş beleş adam görmedim",1
"Çok nazikçe bir yaklaşım teşekkürler",0
"Senin ne mal olduğun sonunda belli oldu",1
"Mükemmel olmuş ellerinize sağlık",0
"Siktir git başımdan seni mi dinleyeceğiz",1
"Bugün hava çok güzel umarım herkes iyidir",0
"Yüzsüz herif hala burada konuşuyor musun",1
"Çok kaliteli bir içerik tebrik ederim",0
"Beyni yok fikri var klasik cahil örneği",1
"Desteğiniz için teşekkür ederim minnettarım",0
"Tam bir rezalet başka söze gerek yok",1
"Güzel bir yaklaşım tarzı sevdim bunu",0
"Şerefsiz herif insanları kandırmayı bırak",1
"Hayırlı akşamlar dilerim herkese",0
"Seni bir daha burada görmeyeyim pislik",1
"Çok yardımcı oldunuz sağ olun var olun",0
"Seninle vakit kaybetmek büyük hata",1
"Harika bir topluluk burası çok sevdim",0
"Kibirli ve ukalasın kimse seni sevmiyor",1
"İlham verici bir paylaşım emeğinize sağlık",0
"Senden nefret ediyorum tiksiniyorum",1
"Hayırlı uğurlu olsun çok sevindim",0
"Geber git artık kurtulalım senin gibilerden",1
"Gayet açıklayıcı bir yazı olmuş",0
"Kendinden utanmalısın bu yaptıkların için",1
"Hocam bu ders çok faydalı oldu sağ olun",0
"Yazıklar olsun senin gibi adama",1
"Teşekkürler emeğine sağlık",0
"Aptal mısın yoksa numara mı yapıyorsun",1
"Bence çok mantıklı bir karar",0
"Senin o olmayan beynine sokayım",1
"Süper bir video olmuş ellerine sağlık",0
"Seni mahvederim bir daha buralara gelme",1
"Düşüncenize sağlık çok mantıklı",0
"Allah senin cezanı versin pislik herif",1
"Çok başarılı bir uygulama olmuş",0
"Tam bir fiyasko iğrenç bir sonuç",1
"Başarılar dilerim yolunuz açık olsun",0
"Terbiye yoksunu herif sınırını aşma",1
"Düşünceli davranışınız için teşekkürler",0
"Seni sülalece yakarız akıllı ol",1
"Harika bir çözüm yolu sunmuşsunuz",0
"Senin gibi tipler bu platformu bozuyor",1
"Hocam ağzınıza sağlık çok akıcı bir ders",0
"Kafan sadece kötülüğe çalışıyor nankör",1
"Çok faydalı bir içerik teşekkürler",0
"Yüzsüzce konuşmaya devam ediyorsun hala",1
"Mükemmel bir iş çıkarmışsınız ellerinize sağlık",0
"Senin o olmayan onuruna tüküreyim",1
"Bence başarılı bir çalışma tebrikler",0
"Öl git de dünya bir pislikten kurtulsun",1
"Hayırlı işler bol kazançlar dilerim",0
"Zekandan şüphe ediyorum artık yazık",1
"İyi ki varsınız çok yardımcı oldunuz",0
"Seni bir daha aramamı bekleme artık",1
"Harika bir içerik ellerinize sağlık canım hocam",0
"Sen ne biçim bir yaratıksın tiksindim senden",1
"Anlatımınız o kadar duru ki hemen anladım",0
"Beyni sulanmış bunların ne dediklerini bilmiyorlar",1
"Daha güzel bir gün olamazdı çok mutluyum",0
"Karaktersizliğini her yerde belli ediyorsun",1
"Bence bu sistem harika çalışıyor tebrikler",0
"Senin o olmayan haysiyetine yazıklar olsun",1
"Yolunuz açık olsun çok başarılısınız",0
"Aptalca fikirlerinle vaktimizi çalma",1
"Çok teşekkürler yardımlarınız hayat kurtardı",0
"İnsanlıktan nasibini almamış kaba saba birisin",1
"Harika bir akşam geçirdim sayenizde",0
"Bana bir daha yazma seni heryerden engelledim",1
"Gerçekten vizyon sahibi birisiniz",0
"Zeka seviyen yerlerde sürünüyor farkında mısın",1
"Emeğinize sağlık çok bilgilendirici bir yazı",0
"Tam bir rezalet rezil ettin her şeyi",1
"Çok naziksiniz bu kibarlığınız beni mutlu etti",0
"Uğursuz herif gittiğin yeri kurutuyorsun",1
"Hocam anlatımınız çok profesyonel",0
"Gözüm görmesin seni bir daha sakın gelme",1
"Başarılarınızın devamını dilerim tebrikler",0
"Senin gibi boş konuşan birini görmedim",1
"Harika bir yaklaşım çok mantıklı buldum",0
"Ağzından çıkanları kulağın duyuyor mu senin",1
"Bilgilendirme için çok teşekkürler",0
"Senin o pis ağzına yakışmıyor bu sözler",1
"Çok sağ olun çok yardımcı oldunuz",0
"Zavallı herif acınacak durumdasın farkında mısın",1
